iter	Passed	Remaining
1364	34485	16042
1365	34512	16018
1366	34537	15992
1367	34565	15968
1368	34591	15943
1369	34620	15920
1370	34648	15896
1371	34675	15871
1372	34703	15847
1373	34729	15822
1374	34754	15797
1375	34785	15774
1376	34812	15750
1377	34837	15724
1378	34864	15700
1379	34890	15675
1380	34915	15650
1381	34941	15625
1382	34968	15600
1383	34995	15575
1384	35026	15553
1385	35051	15528
1386	35077	15502
1387	35104	15478
1388	35130	15453
1389	35157	15428
1390	35181	15403
1391	35211	15379
1392	35237	15354
1393	35264	15329
1394	35290	15305
1395	35315	15279
1396	35341	15254
1397	35366	15229
1398	35391	15203
1399	35417	15178
1400	35443	15153
1401	35469	15128
1402	35493	15103
1403	35519	15078
1404	35544	15052
1405	35569	15027
1406	35594	15001
1407	35619	14976
1408	35644	14950
1409	35671	14926
1410	35698	14901
1411	35727	14878
1412	35754	14853
1413	35779	14828
1414	35805	14802
1415	35829	14777
1416	35855	14752
1417	35883	14727
1418	35907	14702
1419	35932	14676
1420	35958	14651
1421	35985	14626
1422	36011	14602
1423	36040	14578
1424	36066	14553
1425	36091	14527
1426	36116	14502
1427	36141	14476
1428	36166	14451
1429	36191	14426
1430	36216	14400
1431	36242	14375
1432	36268	14350
1433	36294	14325
1434	36319	14299
1435	36344	14274
1436	36369	14249
1437	36394	14223
1438	36419	14198
1439	36444	14172
1440	36468	14147
1441	36494	14121
1442	36519	14096
1443	36544	14071
1444	36575	14048
1445	36602	14023
1446	36626	13997
1447	36651	13972
1448	36678	13947
1449	36708	13923
1450	36734	13898
1451	36758	13873
1452	36785	13848
1453	36810	13822
1454	36837	13798
1455	36863	13772
1456	36888	13747
1457	36913	13722
1458	36939	13697
1459	36965	13672
1460	36991	13647
1461	37019	13622
1462	37047	13598
1463	37080	13576
1464	37106	13550
1465	37131	13525
1466	37155	13499
1467	37181	13474
1468	37207	13449
1469	37232	13424
1470	37259	13399
1471	37284	13373
1472	37310	13348
1473	37335	13323
1474	37360	13297
1475	37385	13272
1476	37410	13247
1477	37435	13221
1478	37462	13196
1479	37487	13171
1480	37513	13146
1481	37537	13120
1482	37565	13096
1483	37591	13070
1484	37616	13045
1485	37642	13020
1486	37667	12995
1487	37693	12969
1488	37719	12944
1489	37745	12919
1490	37774	12895
1491	37799	12870
1492	37825	12844
1493	37850	12819
1494	37878	12795
1495	37903	12769
1496	37928	12744
1497	37954	12719
1498	37981	12694
1499	38007	12669
1500	38034	12644
1501	38060	12619
1502	38087	12594
1503	38111	12568
1504	38138	12543
1505	38162	12518
1506	38190	12493
1507	38215	12468
1508	38242	12443
1509	38266	12417
1510	38297	12394
1511	38322	12368
1512	38348	12343
1513	38374	12318
1514	38402	12293
1515	38427	12268
1516	38453	12243
1517	38479	12218
1518	38508	12193
1519	38534	12168
1520	38561	12143
1521	38590	12119
1522	38620	12095
1523	38646	12070
1524	38674	12046
1525	38703	12021
1526	38773	12010
1527	38827	11993
1528	38874	11974
1529	38900	11949
1530	38929	11925
1531	38957	11900
