iter	RMSE
745	69131.70262
746	69130.10799
747	69119.73124
748	69119.51632
749	69097.03402
750	69093.42881
751	69079.48376
752	69058.38807
753	69029.33092
754	69020.52152
755	69009.06902
756	68990.52432
757	68983.43286
758	68976.68153
759	68968.99808
760	68958.60543
761	68953.58286
762	68945.62635
763	68944.54711
764	68935.77972
765	68929.0516
766	68923.07647
767	68907.79618
768	68896.66651
769	68874.32824
770	68859.09341
771	68854.45646
772	68840.03819
773	68827.10629
774	68820.82843
775	68806.49803
776	68787.65538
777	68765.59672
778	68749.43402
779	68742.42914
780	68720.75963
781	68702.75711
782	68702.13043
783	68682.79954
784	68659.00852
785	68649.91446
786	68642.79614
787	68640.01593
788	68619.57179
789	68602.16569
790	68602.09729
791	68578.1225
792	68559.4719
793	68553.25785
794	68548.60143
795	68540.19465
796	68528.42736
797	68519.34263
798	68500.03711
799	68469.51753
800	68452.49554
801	68447.61111
802	68446.8287
803	68435.52755
804	68426.6542
805	68425.83562
806	68412.50269
807	68403.30371
808	68386.67469
809	68367.75255
810	68350.89118
811	68336.16872
812	68332.93708
813	68326.5995
814	68315.62091
815	68304.72407
816	68278.57102
817	68276.27233
818	68263.93582
819	68251.52353
820	68244.98154
821	68223.92434
822	68210.4757
823	68208.60779
824	68194.19341
825	68193.59026
826	68182.56484
827	68165.62285
828	68144.8478
829	68133.56526
830	68117.82807
831	68100.01533
832	68077.9122
833	68072.42047
834	68065.08538
835	68062.71696
836	68058.82662
837	68048.53328
838	68044.25259
839	68029.91053
840	68019.58953
841	68016.25663
842	67989.22712
843	67979.45291
844	67963.32612
845	67946.51317
846	67936.38365
847	67927.97013
848	67911.16765
849	67899.8126
850	67895.02169
851	67880.41931
852	67875.99747
853	67860.37822
854	67842.51134
855	67838.82603
856	67838.05995
857	67824.5299
858	67815.08464
859	67789.29946
860	67783.04462
861	67768.41551
862	67755.6512
863	67734.65426
864	67710.1858
865	67707.72719
866	67695.3642
867	67693.07461
868	67691.70439
869	67690.63388
870	67674.04142
871	67671.51251
872	67661.09901
873	67655.82418
874	67655.01199
875	67654.36359
876	67638.99804
877	67609.42941
878	67605.25975
879	67597.33888
880	67594.79
881	67593.54351
882	67569.07943
883	67556.52946
884	67555.48999
885	67542.98489
886	67534.78005
887	67525.18295
888	67521.7858
889	67518.27414
890	67516.50783
891	67506.52059
892	67506.10956
893	67497.38054
894	67495.61735
895	67488.03538
896	67485.58094
897	67480.8943
898	67479.3604
899	67454.76119
900	67448.4061
901	67433.38836
902	67410.67056
903	67409.30875
904	67396.18862
905	67380.57117
906	67369.15086
907	67340.61719
908	67339.49197
909	67327.85852
910	67301.53035
911	67279.90401
912	67272.83691
913	67254.56697
914	67252.16793
915	67246.09897
916	67238.43459
917	67230.53193
918	67221.69841
919	67220.56714
920	67215.76712
921	67206.17932
922	67204.0699
923	67178.32668
924	67173.83058
925	67163.84268
926	67156.2496
927	67149.7209
928	67148.19256
929	67140.59654
930	67116.7376
931	67104.3409
932	67093.85059
933	67067.63596
934	67047.88583
935	67035.46162
936	67024.03091
937	67013.32645
938	67011.47792
939	67003.85133
940	67001.19957
941	66980.03471
942	66950.64739
943	66946.44865
944	66944.60309
945	66938.9294
946	66920.40102
947	66907.89135
948	66890.39379
949	66890.01503
950	66861.38374
951	66860.51662
952	66854.09181
953	66841.12982
954	66812.12451
955	66810.75888
956	66806.7282
957	66805.10408
958	66779.19205
959	66759.10852
960	66721.88296
961	66703.49188
962	66679.19221
963	66673.18707
964	66671.86564
965	66644.01384
966	66642.7353
967	66626.51288
968	66625.06578
969	66620.45619
970	66602.95987
971	66599.86659
972	66599.09053
973	66592.09834
974	66577.91553
975	66567.25804
976	66549.48278
977	66546.65649
978	66539.35588
979	66520.87166
980	66511.63905
981	66501.21692
982	66492.97743
983	66481.77368
984	66466.34072
985	66450.80202
986	66413.48551
987	66411.11543
988	66382.02364
989	66380.20369
990	66375.84705
991	66364.01326
992	66334.01024
993	66330.79982
994	66328.54433
995	66315.88908
996	66300.81909
997	66288.19432
998	66271.69913
999	66248.31513
1000	66226.59689
1001	66220.84322
1002	66207.12972
1003	66198.68879
1004	66191.84693
1005	66165.05227
1006	66134.187
1007	66132.26017
1008	66116.3684
1009	66115.03873
1010	66103.11749
1011	66077.28673
1012	66073.1242
1013	66068.73996
1014	66050.29073
1015	66048.72717
1016	66045.48923
1017	66041.64509
1018	66035.58606
1019	66021.03745
1020	66007.74852
1021	65983.53625
1022	65960.16831
1023	65939.91835
1024	65907.64636
1025	65906.49885
1026	65893.32107
1027	65892.17648
1028	65882.58541
1029	65869.81062
1030	65868.77863
1031	65852.52793
1032	65846.81487
1033	65822.59779
1034	65814.7825
1035	65807.12018
1036	65799.09911
1037	65790.22937
1038	65782.71223
1039	65771.69992
1040	65748.27769
1041	65731.21433
1042	65717.50802
1043	65705.96532
1044	65704.42856
1045	65691.24465
1046	65683.92675
1047	65648.3477
1048	65639.40233
1049	65624.51381
1050	65611.73278
1051	65588.75203
1052	65565.21128
1053	65560.68598
1054	65531.00935
1055	65517.26243
1056	65516.18355
